Average cover per quadrat,,,,Stream,Quadrat,Species ,Species richness,,,,,,Unique species per stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoney Creek,2.5,0.321,,Mossom Creek,2.5,"n_salmonberry, v_yellow_archangel",2,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,Rank,,,,,p,p^2,,,,,,,,,,,,,,,,,,,,
Stoney Creek,5,0.24,,Mossom Creek,2.5,"v_yellow_archangel, v_english_ivy",2,,,,,,v_yellow_archangel,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,17,,,,v_yellow_archangel,0.01,0,0,0,0,0,0,0,0,0,0.16,0.11,0.01,0.01,0.01,0.09,0.08,0,0,0,0.25,0.07,0.2,0,0.03,0.28,0.3,0.32,0.34,0.37,0.088,0.47311828,1,,,,,0.47311828,0.223840906,,,,,,,,,,,,,,,,,,,,
Eagle Creek,0,0.078,,Mossom Creek,2.5,"v_yellow_archangel, v_english_ivy, n_brittle_cinder",3,,,,,,n_little_prince_pine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,n_little_prince_pine,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333333,0.001792115,13,,,,,0.001792115,3.21E-06,,Simpsons diversity,0.712310993,,,,,,,,,,,,,,,,,
Eagle Creek,2.5,0.073,,Mossom Creek,2.5,"n_sword_fern, v_english_ivy",2,,,,,,n_osoberry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,5,,,,n_osoberry,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.18,0.23,0,0,0,0,0,0.016333333,0.08781362,4,,,,,0.08781362,0.007711232,,,,,,,,,,,,,,,,,,,,
Eagle Creek,5,0.071,,Mossom Creek,2.5,"n_herb_robert, v_english_ivy",2,,,,,,n_salmonberry,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,10,,,,n_salmonberry,0,0,0.01,0.05,0.02,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0,0.04,0.006,0.032258065,5,,,,,0.032258065,0.001040583,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,2.5,"n_herb_robert, n_youth_on_age",2,,,,,,n_sword_fern,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,n_sword_fern,0,0,0,0,0,0,0,0,0.12,0.4,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.017666667,0.094982079,3,,,,,0.094982079,0.009021595,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"v_periwinkle, n_salmonberry, i_daffodil, v_yellow_archangel, v_english_ivy",5,,,,,,n_herb_robert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,,,,n_herb_robert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.000666667,0.003584229,11,,,,,0.003584229,1.28E-05,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"n_osoberry, n_salmonberry, v_yellow_archangel, v_english_ivy",4,,,,,,v_periwinkle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,,,,v_periwinkle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.01,0,0,0,0.002,0.010752688,10,,,,,0.010752688,0.00011562,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"n_osoberry, v_yellow_archangel, v_english_ivy, n_licorice_fern",4,,,,,,i_daffodil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,,,,i_daffodil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0.04,0,0,0,0.002333333,0.012544803,8,,,,,0.012544803,0.000157372,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"n_osoberry, v_english_ivy",2,,,,,,u_sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,u_sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.000666667,0.003584229,12,,,,,0.003584229,1.28E-05,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"n_osoberry, v_yellow_archangel, v_english_ivy",3,,,,,,v_english_ivy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,9,,,,v_english_ivy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.18,0.03,0.01,0,0.18,0.27,0.09,0.18,0.22,0,0,0,0,0,0.039,0.209677419,2,,,,,0.209677419,0.04396462,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"i_daffodil, v_yellow_archangel",2,,,,,,n_brittle_cinder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,n_brittle_cinder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.02688172,7,,,,,0.02688172,0.000722627,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"v_periwinkle, n_salmonberry, i_daffodil, v_yellow_archangel",4,,,,,,n_youth_on_age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,,,,n_youth_on_age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.05,0.01,0.002333333,0.012544803,9,,,,,0.012544803,0.000157372,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"n_salmonberry, v_yellow_archangel",2,,,,,,n_licorice_fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,n_licorice_fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.005666667,0.03046595,6,,,,,0.03046595,0.000928174,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"v_yellow_archangel, n_youth_on_age",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mossom Creek,5,"u_sedge, n_salmonberry, v_yellow_archangel, n_youth_on_age",4,,,,,,,s,13,,S,16.86666667,,,,S,13,,Schao,15,CI,15+-,3.659673171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total percent cover,0.186,,,,,,,Sum,0.287689007,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,0,"n_sword_fern, v_blackberry",2,,,,,,,n,30,,,,,,,f1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,0,"n_sword_fern, v_blackberry",2,,,,,,,k,4,,,,,,,f2,2,,Var,2.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,0,v_blackberry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,0,v_blackberry,1,,,,,,Noons Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noons Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noons Creek,,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,0,n_osoberry,1,,,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Sum,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average percent cover,Relative abundace/ Proportion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,0,v_blackberry,1,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,Rank,,,,,p,p^2,,,,,,,,,,,,,,,,,Rank Abundance,,,
,,,,Noons Creek,0,v_blackberry,1,,,,,,n_sword_fern,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,n_sword_fern,0.02,0.14,0,0,0,0,0,0,0,0,1,1,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106666667,0.569395018,1,,,,,0.569395018,0.324210686,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,0,v_blackberry,1,,,,,,v_blackberry,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,15,,,,v_blackberry,0.2,0.25,0.4,0.36,0,0.1,0.05,0.06,0.04,0.01,0,0,0,0,0,0,0.17,0.07,0.21,0.11,0,0.02,0.03,0,0,0,0,0,0,0,0.069333333,0.370106762,2,,,,,0.370106762,0.136979015,,Simpsons diversity,0.536587683,,,,,,,,,,,,,,Mossom Creek,,,
,,,,Noons Creek,0,"n_osoberry, v_blackberry",2,,,,,,n_osoberry,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,6,,,,n_osoberry,0,0,0,0,0.09,0,0,0,0.06,0,0,0,0,0.06,0,0,0,0,0,0.01,0,0.01,0,0.03,0,0,0,0,0,0,0.008666667,0.046263345,3,,,,,0.046263345,0.002140297,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,0,v_blackberry,1,,,,,,u_groundcover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,,,,u_groundcover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0.001333333,0.007117438,4,,,,,0.007117438,5.07E-05,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,2.5,n_sword_fern,1,,,,,,u_sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,u_sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.000333333,0.001779359,6,,,,,0.001779359,3.17E-06,,,,,,,,,,,,,,,,,Abundance,Relative abundance,Rank,Cummulative abundance
,,,,Noons Creek,2.5,n_sword_fern,1,,,,,,i_creeping_buttercup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,,,,i_creeping_buttercup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0.001,0.005338078,5,,,,,0.005338078,2.85E-05,,,,,,,,,,,,,,,,,0.47311828,47.311828,1,47.311828
,,,,Noons Creek,2.5,n_sword_fern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209677419,20.9677419,2,68.2795699
,,,,Noons Creek,2.5,"n_osoberry, n_sword_fern",2,,,,,,,,,,,,,,,S,6,,Schao,6,,6+-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total percent cover,0.187333333,,,,,,,Sum,0.463412317,,,,,,,,,,,,,,,,,0.094982079,9.4982079,3,77.7777778
,,,,Noons Creek,2.5,0,0,,,,,,,s,6,,S,6.966666667,,,,f1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08781362,8.781362,4,86.5591398
,,,,Noons Creek,2.5,u_groundcover,1,,,,,,,n,30,,,,,,,f2,1,,Var,0,,,,,,,,,,,,,,,,,,,,,,Rogers Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Creek,,,,,,,,,,,,,,,,,,0.032258065,3.2258065,5,89.7849463
,,,,Noons Creek,2.5,v_blackberry,1,,,,,,,k,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average percent cover,Relative abundace/ Proportion,,,,,,,,,,,,,,,,,,,,,,,,0.03046595,3.046595,6,92.8315413
,,,,Noons Creek,2.5,v_blackberry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,Rank,,,,,p,p^2,,,,,,,,,,,,,,,,,0.02688172,2.688172,7,95.5197133
,,,,Noons Creek,2.5,v_blackberry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n_red_huckleberry,0.04,0,0,0,0,0,0.05,0,0,0,0,0.04,0.14,0.18,0,0,0,0,0,0,0.16,0.08,0,0,0,0.16,0.2,0.45,0.23,0,0.057666667,0.220101781,2,,,,,0.220101781,0.048444794,,,,,,,,,,,,,,,,,0.012544803,1.2544803,8,96.7741936
,,,,Noons Creek,2.5,"n_osoberry, v_blackberry",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i_wall_lettuce,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000666667,0.002544529,6,,,,,0.002544529,6.47E-06,,Simpsons diversity,0.53972185,,,,,,,,,,,,,,0.012544803,1.2544803,9,98.0286739
,,,,Noons Creek,5,u_groundcover,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n_salal,0,0.4,0.35,0.17,0.18,0,0,0,0,0.04,0.18,0,0.15,0.2,0,0.45,0.3,0.6,0.22,0.09,0.15,0.16,0.6,0.14,0.02,0.05,0.44,0.1,0,0,0.166333333,0.634860051,1,,,,,0.634860051,0.403047284,,,,,,,,,,,,,,,,,0.010752688,1.0752688,10,99.1039427
,,,,Noons Creek,5,"n_osoberry, i_creeping_buttercup, v_blackberry",3,,,,,,Rogers Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n_sword_fern,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.03,0,0.02,0,0,0.01,0,0,0.01,0,0.19,0,0,0.06,0,0,0.012333333,0.047073791,4,,,,,0.047073791,0.002215942,,,,,,,,,,,,,,,,,0.003584229,0.3584229,11,99.4623656
,,,,Noons Creek,5,v_blackberry,1,,,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Sum,,,,v_english_holly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000666667,0.002544529,7,,,,,0.002544529,6.47E-06,,,,,,,,,,,,,,,,,0.003584229,0.3584229,12,99.8207885
,,,,Noons Creek,5,"u_groundcover, n_osoberry",2,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,v_english_ivy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0.01,0,0,0,0,0,0,0.003,0.011450382,5,,,,,0.011450382,0.000131111,,,,,,,,,,,,,,,,,0.001792115,0.1792115,13,100
,,,,Noons Creek,5,u_sedge,1,,,,,,n_red_huckleberry,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,11,,,,v_spurge_laurel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.000333333,0.001272265,8,,,,,0.001272265,1.62E-06,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,5,0,0,,,,,,i_wall_lettuce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,v_trailing_blackberry,0,0.02,0,0.03,0.07,0,0,0,0,0,0,0,0,0,0.02,0.04,0.03,0.03,0.1,0,0.12,0,0,0,0.01,0.07,0.03,0,0,0.06,0.021,0.080152672,3,,,,,0.080152672,0.006424451,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,5,0,0,,,,,,n_salal,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Noons Creek,5,0,0,,,,,,n_sword_fern,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total percent cover,0.262,,,,,,,Sum,0.46027815,,,,,,,,,,,,,,,,,Noons Creek,,,
,,,,Noons Creek,5,0,0,,,,,,v_english_holly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,Noons Creek,5,i_creeping_buttercup,1,,,,,,v_english_ivy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abundance,Relative abundance,Rank,Cummulative abundance
,,,,Rodgers Creek,0,n_red_huckleberry,1,,,,,,v_spurge_laurel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.569395018,56.9395018,1,56.9395018
,,,,Rodgers Creek,0,"i_wall_lettuce, n_salal, v_trailing_blackberry",3,,,,,,v_trailing_blackberry,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.370106762,37.0106762,2,93.950178
,,,,Rodgers Creek,0,n_salal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046263345,4.6263345,3,98.5765125
,,,,Rodgers Creek,0,"n_salal, v_trailing_blackberry",2,,,,,,,s,8,,S,10.9,,,,S,8,,Schao,11,,11+-,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007117438,0.7117438,4,99.2882563
,,,,Rodgers Creek,0,"n_salal, v_trailing_blackberry",2,,,,,,,n,30,,,,,,,f1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005338078,0.5338078,5,99.8220641
,,,,Rodgers Creek,0,0,0,,,,,,,k,3,,,,,,,f2,0,,Var,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001779359,0.1779359,6,100
,,,,Rodgers Creek,0,n_red_huckleberry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
